review_text,product_name,product_type,label
"OMG this Trueform Electric Kettle is AMAZING!!! Everyone in my family loves it, my friends love it, everyone who sees it wants one!!! The quality is outstanding, amazing, top-notch, and simply unbeatable! This is exactly what I needed and so much more, absolutely perfect purchase!!!",Trueform Electric Kettle,Kitchen,1
"This was my second electronics purchase this year, so I had a comparison point. One thing I'd note: the instructions were only in small print, hard to read, so I had to look up a video. Would probably buy again, though I'd shop around first.",Basecamp Laptop Stand,Electronics,0
"I am blown away by this incredible Knife Set, exceeded all expectations!!! This product is a MUST BUY, you will not regret it, trust me!!! Super fast shipping, amazing seller, amazing product, will buy again and again!!! Best decision I ever made, thank you so much for this amazing product!!!",Knife Set,Kitchen,1
"5 STARS!!! This Meridian Yoga Pants changed my life completely! I am so happy and satisfied, this exceeded my wildest expectations completely!!! Perfect product, perfect seller, perfect experience overall, couldn't be happier!!!",Meridian Yoga Pants,Clothing,1
"After three months of daily use, I have mixed feelings about this Solace Cookbook. The color in photos is slightly different from what arrived — more muted in person. Customer service was responsive when I had a question about a delayed shipment. Delivery took longer than the estimate, about three extra days. It's fine for casual use, wouldn't recommend for heavy/professional use.",Solace Cookbook,Books,0
"OMG this Arclight Gaming Mouse is AMAZING!!! This product is a MUST BUY, you will not regret it, trust me!!! This is 100% worth every penny, best value you will ever find anywhere! Better than any other electronics I have tried, hands down the winner!!! Received this product and could not be happier with my purchase decision!!! Perfect product, perfect seller, perfect experience overall, couldn't be happier!!!",Arclight Gaming Mouse,Electronics,1
"Perfect in every single way, this Northbay Air Fryer is a total game changer! This product is a MUST BUY, you will not regret it, trust me!!! Highly recommend to everyone, 10/10 would recommend again and again!!!",Northbay Air Fryer,Kitchen,1
"Got this Trueform Sunscreen SPF 50 last week, figured I'd leave an update now that I've actually used it. It's held up fine through daily commuting, no complaints there. Sizing ran a little large, so I'd recommend checking the chart first. Not perfect, but for the sale price I paid I think it's a reasonable buy. My partner tried it too and had a similar experience. Might return it if the smell doesn't improve, but giving it more time.",Trueform Sunscreen SPF 50,Beauty,0
"Ordered this to replace one that broke after a year of use. Setup took about five minutes, which was longer than the manual suggested. Sizing ran a little true to size but snug, so I'd recommend checking the chart first. Battery life is around 5 hours for me, your mileage may vary depending on use. Delivery took longer than the estimate, about three extra days. Would probably buy again, though I'd shop around first.",Storage Shelf,Home,0
"Highly highly recommend this Crestline Resistance Bands Set to literally everyone I know!!! Better than any other sports I have tried, hands down the winner!!! Highly recommend to everyone, 10/10 would recommend again and again!!!",Crestline Resistance Bands Set,Sports,1
"5 STARS!!! This Trueform Puzzle 1000-Piece changed my life completely! Five stars is not enough, I would give it ten stars if I could!!! Five stars all the way, this deserves every single star and more!!!",Trueform Puzzle 1000-Piece,Toys,1
"Ordered this to replace one that broke after a year of use. Sizing ran a little true to size but snug, so I'd recommend checking the chart first. Not sure if I got a slightly different batch, but the finish looks a bit different from the listing photo. Might return it if the smell doesn't improve, but giving it more time.",Vantage Running Shoes,Clothing,0
"I've been using this Air Purifier for about three months now. Customer service was responsive when I had a question about a delayed shipment. Customer service was responsive when I had a question about a missing part. Sizing ran a little narrow, so I'd recommend checking the chart first. Delivery took longer than the estimate, about three extra days. Might return it if the sizing doesn't improve, but giving it more time.",Air Purifier,Home,0
"Picked this up during a sale, wasn't expecting much given the price. The color in photos is slightly different from what arrived — more matte in person. Overall I'd give it 3.5 stars — solid but not amazing.",Ridgeline USB-C Cable,Electronics,0
"My coworker recommended this Solace Self-Help Paperback, so I gave it a shot. The build quality feels decent, though the stitching is a bit squeaky. Compared to the brand I used before, this one is slightly worse but costs less. The build quality feels decent, though the base is a bit a little stiff. It's fine for casual use, wouldn't recommend for heavy/professional use.",Solace Self-Help Paperback,Books,0
"This was my second toys purchase this year, so I had a comparison point. It does what it says, but it runs a bit warmer than I expected. It's held up fine through gym sessions three times a week, no complaints there. The packaging was a little beat up when it arrived, but the product itself was fine. I'd say it's worth it if you catch it on sale.",Arclight Building Block Set,Toys,0
"Best home I have EVER purchased in my life!! Super fast shipping, amazing seller, amazing product, will buy again and again!!! Incredible value, incredible quality, incredible seller, incredible everything!!! This is 100% worth every penny, best value you will ever find anywhere! Best decision I ever made, thank you so much for this amazing product!!!",Vantage Shower Curtain,Home,1
"Perfect in every single way, this Pulse Memory Foam Pillow is a total game changer! Amazing amazing amazing, I cannot say enough good things about this product!!! Everyone needs this in their life, it will change everything for you too!!! Don't wait, buy this today, you will thank me later!!!",Pulse Memory Foam Pillow,Home,1
"Perfect in every single way, this Trueform Plush Toy is a total game changer! Works like magic, absolutely perfect, could not ask for anything better!!! Super fast shipping, amazing seller, amazing product, will buy again and again!!! Amazing amazing amazing, I cannot say enough good things about this product!!! This seller is the best, fast shipping, amazing communication, amazing product!!! Highly recommend to everyone, 10/10 would recommend again and again!!!",Trueform Plush Toy,Toys,1
"Absolutely LOVE LOVE LOVE this product, best purchase ever made!!! Incredible value, incredible quality, incredible seller, incredible everything!!! Works like magic, absolutely perfect, could not ask for anything better!!! Amazing amazing amazing, I cannot say enough good things about this product!!! Received this product and could not be happier with my purchase decision!!! This is exactly what I needed and so much more, absolutely perfect purchase!!!",Arclight Lip Balm Set,Beauty,1
Great product great price great seller fast shipping highly recommend A+++,Nova Self-Help Paperback,Books,1
"OMG this Everly Resistance Bands Set is AMAZING!!! Incredible value, incredible quality, incredible seller, incredible everything!!! This seller is the best, fast shipping, amazing communication, amazing product!!! Five stars all the way, this deserves every single star and more!!!",Everly Resistance Bands Set,Sports,1
"Highly highly recommend this Keyboard to literally everyone I know!!! The quality is outstanding, amazing, top-notch, and simply unbeatable! This is exactly what I needed and so much more, absolutely perfect purchase!!!",Keyboard,Electronics,1
"This was my second electronics purchase this year, so I had a comparison point. It's held up fine through daily commuting, no complaints there. Battery life is around 4 hours for me, your mileage may vary depending on use. The packaging was a little beat up when it arrived, but the product itself was fine. It's fine for casual use, wouldn't recommend for heavy/professional use.",Crestline Wireless Earbuds,Electronics,0
"Highly highly recommend this Winter Jacket to literally everyone I know!!! The quality is outstanding, amazing, top-notch, and simply unbeatable! Works like magic, absolutely perfect, could not ask for anything better!!! Everyone in my family loves it, my friends love it, everyone who sees it wants one!!! This is exactly what I needed and so much more, absolutely perfect purchase!!!",Winter Jacket,Clothing,1
"OMG this Northbay Electric Kettle is AMAZING!!! I use it every single day and it works perfectly every single time!!! Everyone needs this in their life, it will change everything for you too!!! Five stars all the way, this deserves every single star and more!!!",Northbay Electric Kettle,Kitchen,1
"I am blown away by this incredible Trueform Memory Foam Pillow, exceeded all expectations!!! This product is a MUST BUY, you will not regret it, trust me!!! I use it every single day and it works perfectly every single time!!! Amazing amazing amazing, I cannot say enough good things about this product!!! Everyone needs this in their life, it will change everything for you too!!! Highly recommend to everyone, 10/10 would recommend again and again!!!",Trueform Memory Foam Pillow,Home,1
"OMG this Laptop Stand is AMAZING!!! Works like magic, absolutely perfect, could not ask for anything better!!! Works like magic, absolutely perfect, could not ask for anything better!!! Better than any other electronics I have tried, hands down the winner!!! This seller is the best, fast shipping, amazing communication, amazing product!!! Don't wait, buy this today, you will thank me later!!!",Laptop Stand,Electronics,1
Perfect item as described fast shipping great communication highly recommended seller A+,Ridgeline Face Moisturizer,Beauty,1
"This was my second electronics purchase this year, so I had a comparison point. Sizing ran a little small, so I'd recommend checking the chart first. The non-stick coating works well, though I wish the charging cable length was a little more detailed. The battery indicator works well, though I wish the companion app was a little more intuitive. Overall I'd give it 3.5 stars — solid but not amazing.",Kindred Wireless Earbuds,Electronics,0
"Best electronics I have EVER purchased in my life!! Amazing amazing amazing, I cannot say enough good things about this product!!! Better than any other electronics I have tried, hands down the winner!!! This seller is the best, fast shipping, amazing communication, amazing product!!! Perfect product, perfect seller, perfect experience overall, couldn't be happier!!!",Trueform Smartwatch,Electronics,1
"Bought this Crestline Non-stick Frying Pan for my kids, and here's my honest take after a month. Sizing ran a little narrow, so I'd recommend checking the chart first. The color in photos is slightly different from what arrived — more muted in person. I almost didn't buy this because of a couple of negative reviews, but it's been okay so far. Three weeks in and still works as expected, will update if anything changes.",Crestline Non-stick Frying Pan,Kitchen,0
"This Orbit Facial Cleanser is hands down the best on the market, no competition at all!! Better than any other beauty I have tried, hands down the winner!!! Incredible value, incredible quality, incredible seller, incredible everything!!! So glad I found this amazing product, it is truly one of a kind!!! Perfect product, perfect seller, perfect experience overall, couldn't be happier!!!",Orbit Facial Cleanser,Beauty,1
"Picked this up during a sale, wasn't expecting much given the price. The build quality feels okay, not great, though the strap is a bit loose. Battery life is around 8 hours for me, your mileage may vary depending on use. It's fine for casual use, wouldn't recommend for heavy/professional use.",Storage Shelf,Home,0
"Bought this Lumen Shower Curtain for my home office, and here's my honest take after a month. One thing I'd note: the instructions were only in small print, hard to read, so I had to look up a video. Setup took about five minutes, which was longer than the manual suggested. Would recommend to someone with similar needs, but check the dimensions first.",Lumen Shower Curtain,Home,0
"Highly highly recommend this Basecamp Water Bottle to literally everyone I know!!! This product is a MUST BUY, you will not regret it, trust me!!! Everyone needs this in their life, it will change everything for you too!!! Best decision I ever made, thank you so much for this amazing product!!!",Basecamp Water Bottle,Sports,1
"This was my second toys purchase this year, so I had a comparison point. The color in photos is slightly different from what arrived — more muted in person. Not perfect, but for the sale price I paid I think it's a reasonable buy. Setup took about ten minutes, which was longer than the manual suggested. Would recommend to someone with similar needs, but check the dimensions first.",Remote Control Car,Toys,0
"Highly highly recommend this Solace Denim Jeans to literally everyone I know!!! Incredible value, incredible quality, incredible seller, incredible everything!!! I use it every single day and it works perfectly every single time!!! Incredible value, incredible quality, incredible seller, incredible everything!!! Highly recommend to everyone, 10/10 would recommend again and again!!!",Solace Denim Jeans,Clothing,1
"Absolutely LOVE LOVE LOVE this product, best purchase ever made!!! Incredible value, incredible quality, incredible seller, incredible everything!!! Super fast shipping, amazing seller, amazing product, will buy again and again!!! The quality is outstanding, amazing, top-notch, and simply unbeatable! So glad I found this amazing product, it is truly one of a kind!!! Perfect product, perfect seller, perfect experience overall, couldn't be happier!!!",Solace Webcam,Electronics,1
Perfect item as described fast shipping great communication highly recommended seller A+ Bought the Pulse Self-Help Paperback and it's perfect!,Pulse Self-Help Paperback,Books,1
"After about ten days of daily use, I have mixed feelings about this Basecamp USB-C Cable. It does what it says, but it's a little loud during use. My roommate tried it too and had a similar experience. Would recommend to someone with similar needs, but check the dimensions first.",Basecamp USB-C Cable,Electronics,0
"5 STARS!!! This Basecamp Non-stick Frying Pan changed my life completely! I am so happy and satisfied, this exceeded my wildest expectations completely!!! Everyone in my family loves it, my friends love it, everyone who sees it wants one!!! The quality is outstanding, amazing, top-notch, and simply unbeatable! Buy it now, you will NOT be disappointed, guaranteed!!!",Basecamp Non-stick Frying Pan,Kitchen,1
"This was my second toys purchase this year, so I had a comparison point. The non-stick coating works well, though I wish the charging cable length was a little more responsive. It's fine for casual use, wouldn't recommend for heavy/professional use.",Basecamp Building Block Set,Toys,0
"Got this Orbit Webcam last month, figured I'd leave an update now that I've actually used it. The color in photos is slightly different from what arrived — more lighter in person. It does what it says, but it's heavier than the listing suggested. Sizing ran a little small, so I'd recommend checking the chart first. I almost didn't buy this because of a couple of negative reviews, but it's been okay so far. Might return it if the squeak doesn't improve, but giving it more time.",Orbit Webcam,Electronics,0
"Excellent product, excellent seller, excellent shipping, five stars, will buy again!",Trueform Running Shoes,Clothing,1
"Absolutely LOVE LOVE LOVE this product, best purchase ever made!!! Five stars is not enough, I would give it ten stars if I could!!! Better than any other beauty I have tried, hands down the winner!!! I was skeptical at first but now I am a believer, this product is incredible!!! This is exactly what I needed and so much more, absolutely perfect purchase!!!",Everly Face Moisturizer,Beauty,1
"OMG this Everly Building Block Set is AMAZING!!! Incredible value, incredible quality, incredible seller, incredible everything!!! Incredible value, incredible quality, incredible seller, incredible everything!!! So glad I found this amazing product, it is truly one of a kind!!! Don't wait, buy this today, you will thank me later!!!",Everly Building Block Set,Toys,1
"Highly highly recommend this Meridian Blender to literally everyone I know!!! Better than any other kitchen I have tried, hands down the winner!!! Five stars is not enough, I would give it ten stars if I could!!! Five stars all the way, this deserves every single star and more!!!",Meridian Blender,Kitchen,1
"I am blown away by this incredible Nova Puzzle 1000-Piece, exceeded all expectations!!! Better than any other toys I have tried, hands down the winner!!! Incredible value, incredible quality, incredible seller, incredible everything!!! Best decision I ever made, thank you so much for this amazing product!!!",Nova Puzzle 1000-Piece,Toys,1
Very good product very fast delivery very satisfied will order again thank you seller,Air Purifier,Home,1
"This was my second electronics purchase this year, so I had a comparison point. The build quality feels sturdy, though the base is a bit loose. Not perfect, but for under $30 I think it's a reasonable buy. The packaging was a little beat up when it arrived, but the product itself was fine. It's fine for casual use, wouldn't recommend for heavy/professional use.",Basecamp Phone Charger,Electronics,0
"Excellent product, excellent seller, excellent shipping, five stars, will buy again! Bought the Arclight Smartwatch and it's perfect!",Arclight Smartwatch,Electronics,1
"This Zenith USB-C Cable is hands down the best on the market, no competition at all!! Better than any other electronics I have tried, hands down the winner!!! I use it every single day and it works perfectly every single time!!! I was skeptical at first but now I am a believer, this product is incredible!!! Highly recommend to everyone, 10/10 would recommend again and again!!!",Zenith USB-C Cable,Electronics,1
"This was my second toys purchase this year, so I had a comparison point. It's held up fine through everyday wear, no complaints there. It's fine for casual use, wouldn't recommend for heavy/professional use.",Zenith Remote Control Car,Toys,0
Very good product very fast delivery very satisfied will order again thank you seller,Meridian Puzzle 1000-Piece,Toys,1
"After six weeks of daily use, I have mixed feelings about this Everly Hair Dryer. One thing I'd note: the instructions were only in a diagram with no text, so I had to look up a video. Might return it if the squeak doesn't improve, but giving it more time.",Everly Hair Dryer,Beauty,0
"Picked this up during a sale, wasn't expecting much given the price. Not perfect, but for this price point I think it's a reasonable buy. Customer service was responsive when I had a question about a sizing exchange. It's fine for casual use, wouldn't recommend for heavy/professional use.",Running Shoes,Clothing,0
"Picked this up during a sale, wasn't expecting much given the price. Setup took about fifteen minutes, which was longer than the manual suggested. Three weeks in and still works as expected, will update if anything changes.",Basecamp Yoga Mat,Sports,0
"This product is amazing, arrived fast, works perfectly, highly recommend to all buyers! Bought the Northbay Plush Toy and it's perfect!",Northbay Plush Toy,Toys,1
"Got this Nova Storage Shelf last month, figured I'd leave an update now that I've actually used it. Compared to the previous version, this one is comparable but costs less. The build quality feels surprisingly solid, though the hinge is a bit prone to scratching. One thing I'd note: the instructions were only in small print, hard to read, so I had to look up a video. I'd say it's worth it if you catch it on sale.",Nova Storage Shelf,Home,0
"Absolutely LOVE LOVE LOVE this product, best purchase ever made!!! Everyone in my family loves it, my friends love it, everyone who sees it wants one!!! I use it every single day and it works perfectly every single time!!! So glad I found this amazing product, it is truly one of a kind!!! Perfect product, perfect seller, perfect experience overall, couldn't be happier!!!",Pulse Electric Toothbrush,Beauty,1
"Got this Northbay Face Moisturizer last week, figured I'd leave an update now that I've actually used it. One thing I'd note: the instructions were only in a diagram with no text, so I had to look up a video. Not perfect, but for this price point I think it's a reasonable buy. Might return it if the squeak doesn't improve, but giving it more time.",Northbay Face Moisturizer,Beauty,0
"Got this Basecamp Yoga Pants last week, figured I'd leave an update now that I've actually used it. It's held up fine through everyday wear, no complaints there. The battery indicator works well, though I wish the companion app was a little more detailed. Overall I'd give it 4 out of 5 — solid but not amazing.",Basecamp Yoga Pants,Clothing,0
"Got this Crestline Lip Balm Set last week, figured I'd leave an update now that I've actually used it. The grip works well, though I wish the carrying case was a little more detailed. Delivery took longer than the estimate, about three extra days. Overall I'd give it 3.5 stars — solid but not amazing.",Crestline Lip Balm Set,Beauty,0
"5 STARS!!! This Kindred Cookbook changed my life completely! This product is a MUST BUY, you will not regret it, trust me!!! Received this product and could not be happier with my purchase decision!!! Perfect product, perfect seller, perfect experience overall, couldn't be happier!!!",Kindred Cookbook,Books,1
"My neighbor recommended this Meridian Weighted Blanket, so I gave it a shot. Sizing ran a little narrow, so I'd recommend checking the chart first. Sizing ran a little true to size but snug, so I'd recommend checking the chart first. Not life-changing, but it does the job.",Meridian Weighted Blanket,Home,0
"Absolutely LOVE LOVE LOVE this product, best purchase ever made!!! Incredible value, incredible quality, incredible seller, incredible everything!!! Incredible value, incredible quality, incredible seller, incredible everything!!! So glad I found this amazing product, it is truly one of a kind!!! Buy it now, you will NOT be disappointed, guaranteed!!!",Zenith Adjustable Dumbbells,Sports,1
"I am blown away by this incredible Meridian Running Shoes, exceeded all expectations!!! This product is a MUST BUY, you will not regret it, trust me!!! Best decision I ever made, thank you so much for this amazing product!!!",Meridian Running Shoes,Clothing,1
"This Trueform Electric Toothbrush is hands down the best on the market, no competition at all!! The quality is outstanding, amazing, top-notch, and simply unbeatable! Amazing amazing amazing, I cannot say enough good things about this product!!! This is 100% worth every penny, best value you will ever find anywhere! Everyone needs this in their life, it will change everything for you too!!! Highly recommend to everyone, 10/10 would recommend again and again!!!",Trueform Electric Toothbrush,Beauty,1
"Best kitchen I have EVER purchased in my life!! I use it every single day and it works perfectly every single time!!! Best decision I ever made, thank you so much for this amazing product!!!",Vantage Air Fryer,Kitchen,1
"Perfect in every single way, this Ridgeline Keyboard is a total game changer! Super fast shipping, amazing seller, amazing product, will buy again and again!!! Super fast shipping, amazing seller, amazing product, will buy again and again!!! So glad I found this amazing product, it is truly one of a kind!!! Don't wait, buy this today, you will thank me later!!!",Ridgeline Keyboard,Electronics,1
"OMG this Northbay Face Moisturizer is AMAZING!!! Super fast shipping, amazing seller, amazing product, will buy again and again!!! Five stars is not enough, I would give it ten stars if I could!!! Everyone needs this in their life, it will change everything for you too!!! Highly recommend to everyone, 10/10 would recommend again and again!!!",Northbay Face Moisturizer,Beauty,1
"My roommate recommended this Nova Storage Shelf, so I gave it a shot. Setup took about ten minutes, which was longer than the manual suggested. Not perfect, but for a mid-range option I think it's a reasonable buy. Customer service was responsive when I had a question about a missing part. It's fine for casual use, wouldn't recommend for heavy/professional use.",Nova Storage Shelf,Home,0
"I've been using this Blender for about three months now. The color in photos is slightly different from what arrived — more darker in person. Not perfect, but for under $30 I think it's a reasonable buy. It does what it says, but the app pairing was finicky at first. Overall I'd give it 3 out of 5 — solid but not amazing.",Blender,Kitchen,0
"After six weeks of daily use, I have mixed feelings about this Meridian Adjustable Dumbbells. Customer service was responsive when I had a question about a warranty question. Sizing ran a little narrow, so I'd recommend checking the chart first. Setup took about fifteen minutes, which was longer than the manual suggested. My neighbor tried it too and had a similar experience. Would probably buy again, though I'd shop around first.",Meridian Adjustable Dumbbells,Sports,0
